State,South,Region,Division,UER23,PR23,PNH,PH,SCR,PC
37,0,1,3,3.2,7.9,6.510093168,34.91459627,38.98291925,19.5923913
10,0,1,2,3.4,10.9,5.551031968,33.40531738,31.81222785,29.23142281
16,0,3,7,3.2,11.8,3.546626984,20.78373016,40.40178571,35.26785714
15,0,1,3,3.7,16.0,11.91698027,42.88972517,29.86657544,15.32671912
4,1,2,6,3.5,20.4,16.49624374,36.38355593,33.39941569,13.72078464
13,0,0,1,3.9,12.8,8.570342205,43.30291508,26.53992395,21.58681876
25,0,0,1,2.9,7.2,5.772688778,24.39065418,26.07048806,43.76616898
4,1,2,6,3.1,23.7,10.99495913,21.44309828,25.02472956,42.53721304
19,1,2,6,3.2,15.7,15.29695173,37.72815714,30.03798758,16.93690355
39,1,2,4,2.8,18.8,10.27497288,40.75356755,27.84778436,21.12367521
23,1,2,4,5.9,17.4,10.08767609,48.57649493,27.82977047,13.50605852
10,0,1,2,3.9,12.6,7.558760684,44.31757479,31.85096154,16.27270299
12,0,3,8,3.7,15.3,7.1559515,25.68423761,40.86128711,26.29852378
1,0,3,8,5.4,13.7,9.635355795,31.56576619,38.64827863,20.15059939
25,0,0,1,4.3,15.0,8.375293723,35.03860356,32.02416918,24.56193353
40,0,1,3,3.0,7.9,4.232484317,40.99463381,33.29302396,21.47985791
27,0,1,2,3.4,13.7,14.24938236,43.10419997,27.45240517,15.1940125
9,1,2,4,3.3,13.3,9.192164847,20.06279909,23.99740538,46.74763068
9,1,2,4,2.7,10.1,10.08675079,34.3533123,30.67823344,24.88170347
35,0,3,7,3.2,15.0,7.710843373,38.38554217,31.27710843,22.62650602
0,0,1,3,2.5,11.6,7.727503813,31.82511439,39.24758516,21.19979664
21,1,2,5,4.1,20.6,17.12010617,41.61980931,28.02360912,13.2364754
17,1,2,4,3.5,11.3,12.33606232,29.32199348,33.94801685,24.39392735
39,1,2,4,2.9,20.2,12.79718031,27.93470195,23.84071234,35.42740539
29,0,1,3,2.6,13.7,10.82665022,33.38474193,28.07423401,27.71437384
40,0,1,3,2.4,9.3,4.982561036,38.5934942,33.02726173,23.39668304
24,1,2,6,5.1,30.8,19.14008322,44.3481276,23.370319,13.14147018
21,1,2,5,3.6,16.0,13.67664319,40.86267606,29.65962441,15.80105634
29,0,1,3,1.8,11.5,14.16337286,36.56126482,28.45849802,20.8168643
40,0,1,3,2.3,11.1,8.587825374,36.03197377,36.72883788,18.65136298
30,0,3,7,3.8,10.9,10.95743156,32.58563853,34.17658019,22.28034972
11,1,2,6,3.4,13.5,12.50640697,39.40779876,31.21476166,16.87103261
11,1,2,6,2.7,9.6,9.788943924,37.0193551,32.19748961,20.99421137
27,0,1,2,3.9,10.2,11.64259928,48.15483353,26.53429603,13.66827116
9,1,2,4,3.2,16.9,17.97252135,32.90630028,32.19457854,16.92659983
31,1,2,4,4.8,22.1,30.49715746,35.84264947,22.93105422,10.72913885
9,1,2,4,3.8,24.5,16.51162791,44.41860465,29.14728682,9.92248062
4,1,2,6,6.3,20.1,15.11605952,32.38810021,33.04598718,19.44985308
35,0,3,7,2.6,13.8,4.506858263,31.54800784,35.40169824,28.54343566
16,0,3,7,3.0,11.5,3.595819156,21.01192079,28.13257288,47.25968717
4,1,2,6,4.5,11.5,8.991353727,26.10045412,37.73016104,27.17803111
14,1,2,5,4.6,25.9,20.43064597,30.99649474,30.812886,17.75997329
11,1,2,6,4.7,18.9,10.03474186,32.70582532,31.76860305,25.49082976
12,0,3,8,5.2,19.3,10.41168605,33.58118238,34.4949147,21.51221686
25,0,0,1,4.3,14.9,9.993400819,36.69268985,31.38968785,21.92422148
8,1,2,5,2.4,15.6,16.1314374,37.3595356,30.56398786,15.94503914
4,1,2,6,3.5,12.9,8.089335968,30.22573499,36.20142506,25.48350398
35,0,3,7,3.4,20.2,8.638388534,35.40577184,37.07147008,18.88436955
2,0,3,7,3.1,18.4,11.07954545,41.69034091,29.15482955,18.07528409
26,0,1,2,7.3,14.5,10.2716605,35.9106253,33.16187108,20.65584311
25,0,0,1,3.4,12.7,8.252372976,27.96947701,26.72771264,37.05043737
36,0,0,1,4.8,12.3,10.16523821,29.10117255,25.45804516,35.27554408
33,0,1,2,3.9,10.8,6.29048414,37.40901503,35.79298831,20.50751252
20,1,2,4,2.5,5.3,5.654811528,24.37507214,27.60584335,42.36427298
29,0,1,3,2.2,13.4,7.821782178,30.99009901,38.51485149,22.67326733
26,0,1,2,7.7,12.9,6.376133372,41.13775958,32.23164668,20.25446037
11,1,2,6,3.8,17.5,12.27110317,40.83296114,31.17463153,15.72130415
4,1,2,6,6.1,26.9,30.65137957,25.16626495,23.85568854,20.32666694
17,1,2,4,5.0,27.7,21.11796289,34.91308277,29.40965393,14.55930041
26,0,1,2,4.3,14.0,10.25288774,39.64618145,31.69507682,18.40585399
